name;address;website;phone;emails;district 
Macelleria Mascanzoni;Str. Bisavola, Fraz, 37011 Calmasino VR;http://www.mascanzonicarni.it;045 723 5160;;
Artigiana salumi;Via Trevisago, 35/R, 25080 Manerba del Garda BS;;;;
Macelleria Bia Federico;Via Marconi, 7, 35021 Agna PD;https://macelleria-bia-federico.business.site;049 538 1067;;
Lazzarin Rossana;Via Marconi, 11, 35021 Agna PD;https://www.macelleriafrancescorossana.it;049 538 1017;macellerialazzarinrossana@gmail.com;
Macellazione F.lli Magnarello Spaccio Carni e Salumi;29 Via Rotella Destra, 35040 Sant'Urbano PD;https://www.facebook.com;0429 693260;;
Vinoteca Corte Agna;Via Marconi, 92, 35021 Agna PD;;049 951 5103;;
I.M.C. S.A.S.;Via cimitero, 12, 35021 Agna PD;;;;
Andrea Barbierato;Via Dante Alighieri, 7, 35021 Agna PD;http://andreabarbierato.it;368 786 6672;abarbierato@gmail.com;
"Trattoria Tre Stelle ""dalla Cicci""";Via Roma, 4, 35021 Agna PD;;329 635 2457;;
Salumificio Squizzato Sas;Via Padova, 188, 30030 Vigonovo VE;;049 502758;;
Campaci Berto;Via G. B. Cromer, 35021 Agna PD;https://www.campacisrl.com;049 538 1089;;
Macelleria Comunian;35020 Candiana PD;;049 534 9777;;
Salumificio Bianco Angelo;Via Roma Fraz. Solighetto, 14, 31053 Pieve di Soligo TV;https://www.salumificiobianco.com;0438 82805;info@salumificiobianco.com;
Salumeria Al Desco - Prodotti Tipici Veneti Di Collesei Nicola;35122 Padova PD;https://www.salumeriaaldescocollesei.it;049 654960;;
Prosciuttificio Friulano Sandaniele (S.R.L.);Via della Resistenza, 7, 35027 Noventana PD;;049 625750;;
Caseificio E Salumificio Scacco Societa' Agricola Scacco Di Scacco Giuseppe E Figli S.S.;Via Porto, 47, 35028 Piove di sacco PD;https://www.caseificioscacco.com;049 977 5788;agricolascacco@gmail.com;
Salumificio Carretta;Via Garziere, 79, 36014 Santorso VI;http://www.salumificiocarretta.it;0445 575099;salumificiocarretta@libero.it salumificiocarretta@libero.itt info@salumificiocarretta.it;
AZIENDA AGRICOLA SCUDELLARO S.AGR.S;Via Valli Pontecasale, 16, 35020 Candiana PD;http://www.scudellaro.it;049 534 9944;info@scudellaro.it;
Salumi;35026 Conselve PD;;;;
Emporio della Frutta;35021 Agna PD;;049 538 1055;;
Macellerie Rinaldo Giampaolo E Figli Snc;Via Alessandro Volta, 1, 35020 Maserà di Padova PD;;049 886 2066;;
MOZZARELLE DI LATTE DI BUFALA Scacco;Via Porto, 47, 35028 Piove di sacco PD;https://www.caseificioscacco.com;049 977 5788;agricolascacco@gmail.com;
Salumificio Stecca Srl;Via del Cristo, 11C, 31044 Montebelluna TV;http://www.salumificiostecca.it;0423 86270;salumificiosteccasrl@gmail.com;
La Bottega Del Pane Salumi E Formaggi;Passaggio del Bottesin, 5, 35028 Piove di Sacco PD;;;;
Salumi Olivetto;san, Via Cà Bertoncello, 15, San Martino di Lupari PD;;049 946 0859;;
Macellerie Equine Borgato;Via Roma, 36, 35020 Saonara PD;https://instagram.com;049 644821;;
Ristorante Campagnon;Via Campagnon, 56, 35021 Agna PD;http://www.ristorantecampagnon.it;049 951 5298;info@ristorantecampagnon.it;
Salumificio e ingrosso carni Toresan;Via Talponera, 66/a, 31050 Ponzano Veneto TV;http://www.toresan.it;0422 523296;;
Caseificio Sartoreo;Via Valli Pontecasale, 35020 Candiana PD;;348 380 9251;;
Sotto il Salone;Piazza delle Erbe, 35, 35122 Padova PD;https://mercatosottoilsalone.it;;incoming@mercatosottoilsalone.it info@mercatosottoilsalone.it;
Macellerie Rinaldo Snc;Via Villa Rita, 11, 35030 Baone PD;;0429 3387;;
Azienda Cardin;Via Rena, 32, 35020 Terrassa padovana PD;;049 538 4643;;
Pizzeria Birreria Kruskà;Via Chiesa, 9, 35021 Agna PD;;049 538 1877;;
Pizzeria Da Gastone;Via Roma, 51, 35021 Agna PD;;049 538 1145;;
Artigiana Carni e Salumi;Via dello Sport, 9, 35040 Boara Pisani PD;;0425 484948;;
Formaggi e salumi “da Danilo”;Via G. Marconi, 11, 31030 Castello di Godego TV;;0423 760360;;
Pagotto Carni Macelleria Gastronomia Salumificio;Via Grande di Pezzan, 52, 31030 Pezzan TV;https://www.pagottocarni.it;0422 397378;;
Bottega da Andrea;Via Vittorio Emanuele II, 67, 35026 Conselve PD;https://www.bottegadaandrea.it;049 538 4572;info@bottegadaandrea.it;
SALUMIFICIO SPADER;Via Europa Unita, 13, 31010 Mosnigo TV;https://salumificio-spader.business.site;0438 189 5591;;
Salumificio San Domenico;Via San Domenico, 130, 36012 Asiago VI;http://www.salumificiosandomenico.com;0424 63979;info@salumificiosandomenico.com;
Costa La Macelleria di Agordo;Via Giuseppe Garibaldi, 62, 32021 Agordo BL;http://www.macelleriacostapaolo.it;0437 62209;info@macelleriacostapaolo.it;
Macelleria Salumeria Costa Paolo;Piazza Papa Luciani, 49, 32020 Canale d'Agordo BL;http://www.macelleriacostapaolo.it;0437 590379;info@macelleriacostapaolo.it;
Cooperativa Agordino Latteria di Vallata;Località Toccol, 61, 32021 Agordo BL;https://www.latteriadivallata.com;0437 640947;;
Supermercato Super W - Agordo;Via XXVII Aprile, 1, 32021 Agordo BL;http://www.walber.it;0437 63374;;
Biershop Agordo;Viale Sommariva, 8, 32021 Agordo BL;;;;
Macelleria Segat salumi nostrani Belluno via mezzaterra n44;Via Mezzaterra, 44, 32100 Belluno BL;;0437 941708;;
Alimentari Tipici Faè;SP346, 32020 Cencenighe Agordino BL;;0437 591167;;
Supermercato Kanguro Agordo;Via XXVII Aprile, 32021 Agordo BL;http://www.kangurosupermercati.it;0437 444387;info@kangurosupermercati.it;
Macelleria Faè;Piazza 4 Novembre, 14, 32020 Cencenighe Agordino BL;https://www.facebook.com;0437 591139;;
Bepi David merci e spezie per salumi;Via Cima I Prà, 40, 32014 Polpet BL;;0437 183 2421;;
Prima latteria cooperativa d'Italia;Via Roma, 21, 32020 Canale d'Agordo BL;;;;
Sperandio Flavio & C. S.A.S.;Corso Roma, 35, 32020 Falcade BL;;0437 590785;;
Salumificio F.lli Felicetti S.r.l. Moena - SPACCIO;Str. della Comunità de Fiem, 19, 38035 Moena TN;http://www.felicettispeck.it;0462 573347;;
Ganz Franco;Via S. Giorgio, 11, 32036 Roe Alte BL;;0437 82826;;
Ditta Fregona Renzo;Via Col di Roanza, 15, 32100 Belluno BL;https://www.facebook.com;0437 32658;;
Alimentari Di Cominato Mauro E Silvia S.N.C.;Via Dante Alighieri, 26, 32027 Taibon Agordino BL;;0437 661756;;
Salumificio di Casa Largher srl;Località Lago Santo, 3, 38034 Cembra TN;http://www.pastramiandco.it;0461 683082;;
Macelleria Polesel Gioachino & C Snc;Piazza Italia, 1, 33085 Maniago PN;http://www.pitina.it;0427 71470;;
Salumificio San Giacomo S.n.c. di Canton Liviano e Canton Pierangelo;Via Cal de Livera, 72, 31029 Vittorio Veneto TV;http://www.salumificiosangiacomo.com;0438 501083;info@salumificiosangiacomo.com;
Salumificio Di Asiago Srl;Via Dell'Artigianato, 23, 36012 Coda VI;https://www.speckdiasiago.it;0424 464217;;
Salumificio Del Ben Ernesto & C. sas;Via Lorenzo Selva, 104B, 33085 Maniago PN;http://www.delben.it;0427 71211;;
Fratelli Corrà Salumi Trentini;Via Roen, 2/c, 38012 Smarano TN;https://www.fratellicorra.it;0463 536160;acquisti@fratellicorra.it;
Macelleria Capraro s.n.c Speck e Salumi del Tesino;Via Sebastiano, Via Silvano Buffa, 7, 38050 Pieve Tesino TN;http://www.macelleriacapraro.it;0461 594175;info@macelleriacapraro.it;
Marchiori Carni e Salumi snc;Località Fanch, 01, 38013 Fondo TN;http://www.salumimarchiori.it;0463 831119;;
Salumificio Corte dei Berga - Salumi della Valposina;;;349 835 1813;;
Agriturismo Busa Dei Sbrase;32027 Taibon Agordino BL;https://www.busadeisbrase.it;340 611 7488;info@busadeisbrase.it;
Macelleria Dal Mas Marco;Via Pecol, 22, 32010 Mareson-Pecol BL;;0437 788795;;
Malga Casera Razzo / Rotze Kose;località Sella di Razzo, 32040 Vigo di Cadore BL;;389 593 1511;;
Parissenti Candido;Via Trento Trieste, 17, 32020 Voltago BL;;0437 669135;;
Salumificio ZAHRE S.r.l. di Tavano Elvis - AMPEZZO;Zona Industriale, 07, 33021 Ampezzo UD;http://www.zahre.it;0433 80406;;
Molinari Salumi;Via Giulio Cesare, 26, 33020 Zuglio UD;http://salumimolinari.it;0433 40941;info@salumimolinari.it mllegeorgesand@gmail.com;
Salumificio Salumeria;Via Roma, 96, 30020 Cinto Caomaggiore VE;;;;
Beggiato Sergio;via Giacomo Zanella, Via Matteotti, 2, Agugliaro VI;;0444 891045;;
Salumificio Gramola;Via Codazzi, 6, 36015 Schio VI;http://www.gramolasalumi.it;0445 520579;;
Salumificio Zambon Giovanni Srl;Via dell'Artigianato, 6, 36035 Marano Vicentino VI;;0445 621297;;
Pacchin Carlo Az. Agricola L'Aia;Via G. Marconi, 4, 36020 Agugliaro VI;;0444 891201;;
Prosciuttificio San Marco;Via Meledo Alto, 1, 36040 Sarego VI;http://prosciuttificiosanmarco.it;0444 822232;info@prosciuttificiosanmarco.it;
Sant'orso salumi;Via G. Galilei, 5, 36010 Zanè VI;;;;
Prosciuttificio Ducale Srl;Via del Commercio, 7/A, 36021 Barbarano Mossano VI;https://www.prosciuttificioducale.it;0444 183 5083;amministrazione@prosciuttificioducale.it;
Salumificio Sant'Orso S.R.L.;Via Leonardo Da Vinci, 18, 36030 Caltrano VI;http://www.salumisantorso.it;0445 314118;;
Macelleria Trivella di Targon Omar;Via Roma, 36, 36040 Sossano VI;http://www.macelleriatrivella.com;0444 885587;;
Spaccio Carne Sinigaglia;Via Capitello, 14, 36021 Ponte di Barbarano VI;http://www.spacciocarnisinigaglia.it;0444 896906;;
Attilio Fontana Prosciutti;Via Campana, 8, 35044 Montagnana PD;http://www.fontanaprosciutti.it;0429 81010;info@fontanaprosciutti.it;
King's S.p.a.;Via Rio, 77, 36040 Sossano VI;;0444 788100;;
